BALANCE	PURCHASES	ONEOFF_PURCHASES	CREDIT_LIMIT	PAYMENTS	MINIMUM_PAYMENTS
1411.60223	963.24	963.24	7500	20071.07544	719.948985
663.44781	0	0	1800	3067.05783	283.333445
784.889762	1526.59	786.3	3000	1262.309666	363.142736
4104.710798	203.82	203.82	4500	868.275275	1801.264841
1360.742377	0	0	1500	378.294227	321.354137
5315.945594	1525.44	469.8	8500	1430.341501	1318.71492
2242.311686	437	97	2400	0	
474.447149	109.74	0	1700	176.013005	147.199792
3910.111237	0	0	4200	0	
229.867179	2390.6	1402.93	3300	2543.953559	175.657825
863.809833	507.5	507.5	4000	587.866451	286.448719
4931.331857	901.42	646.07	12000	8113.297346	1012.415961
1078.888565	3107.85	2221.74	2500	1399.82834	1322.446601
1565.681099	0	0	3500	691.825279	581.481917
464.674156	1979.22	1979.22	3000	3110.052742	132.446091
6.660517	310	0	1000	417.016763	
1311.995984	1283.9	1283.9	6000	0	
3625.218146	313.27	313.27	4000	0	
2386.330629	5217.62	4789.09	7500	5678.729613	1311.514878
3971.138765	0	0	4000	764.938728	1600.212243
5493.90406	229	0	6000	2110.557023	1895.02617
1879.114033	113	113	6500	3509.686561	548.105836
1555.793701	66.2	66.2	1600	338.083661	837.215674
809.582978	0	0	4150	4372.148648	241.645387
7.152356	840	840	1600	0	
1923.886805	1887.64	0	1850	3688.045998	3266.996777
1758.059987	412.33	325.21	1800	777.451648	897.905444
809.847455	0	0	1500	146.074769	179.412493
1576.305029	0	0	2500	540.022225	352.883804
3990.523579	263.5	190.6	6000	6876.836205	1001.607366
1699.435486	1363.69	1363.69	1700	1623.816348	923.505868
5487.683724	419.1	0	6250	1288.214909	2180.881868
2990.422186	4523.27	1664.09	7000	28232.69446	1107.030803
656.01301	0	0	7000	910.457985	140.983193
1808.972419	713.9	503.08	2250	889.017418	622.757696
532.334517	791.94	516.64	6000	1305.177304	175.510344
5860.433624	561.87	249.5	6000	1990.044998	2161.428274
1727.638449	606.11	606.11	11000	2959.920544	623.656993
578.809679	320	0	1500	1438.910569	190.186542
1205.716678	0	0	1200	29.278671	8242.687678
6593.820644	388.66	388.66	7000	1624.583114	2503.40234
17.357563	244.85	40.21	5000	357.802082	121.523416
81.584711	0	0	9500	116.569033	164.692136
3.78631	133.05	28.2	12000	210.053432	99.533735
42.46443	396	0	1200	725.606194	140.809454
1935.362486	4915.6	4515.34	9000	4921.066897	594.756686
134.917202	1247.8	1247.8	16500	1275.229436	171.357189
7069.950386	1603.78	1445.14	11000	4589.873897	1876.262988
8181.251131	2258.01	1318.78	13500	3021.575846	2074.581541
4037.305658	45	45	4500	1073.844885	968.941265
6110.265264	0	0	6500	1502.205631	2864.380327
9381.255094	5100.07	1147.83	9000	6409.496345	9827.045323
1977.00709	1032.04	226.9	4000	3056.424974	910.707525
1321.47608	45.65	45.65	1800	440.840439	312.560636
1307.717841	405.6	405.6	2400	0	
2329.485768	213.34	213.34	2400	0	
1139.782882	0	0	1200	151.823651	2906.110765
1619.955708	739.44	739.44	6000	417.128532	389.138517
3505.671311	0	0	4000	0	
4.708041	79	0	7000	217.820198	121.781205
0	0	0	3000	138.021428	
4.875885	20	20	1500	26.487919	60.913577
23.394411	1346.28	0	2000	712.149153	54.79166
3539.801912	2823.8	1540.41	5700	9172.788366	2103.796148
0.62424	389.96	0	4500	0	
862.07238	0	0	4000	2236.890255	214.828158
2441.542991	808	808	4000	532.741699	1026.976
408.656365	941.64	0	2500	1097.78942	176.610605
4986.400804	0	0	8000	1241.538024	1439.230899
1246.624558	423.7	177.64	2000	577.050373	498.365419
6644.201651	4478.75	2721.59	9000	10857.94321	2469.571326
156.216753	1354.86	585.63	5500	858.976682	108.319927
3393.351236	0	0	4200	0	
5322.994094	2812.2	857.12	8500	1509.423237	1834.031569
6458.56209	0	0	7000	1277.76778	2760.115734
175.341651	1508.9	1252.36	5000	1884.227778	136.639824
680.195157	1045.57	667.95	3000	552.432305	207.720441
223.763616	2309.78	0	6500	1206.81188	99.372848
1785.626943	0	0	1800	687.691735	2439.136113
54.933231	495	0	7000	1969.845566	147.049952
2662.629852	0	0	3000	932.418855	709.207016
8504.876253	6724.26	4100.08	17000	1888.756861	2167.446204
1464.324632	1174.39	1174.39	9000	0	
2114.158683	5580.85	0	8500	3564.977774	630.00413
2876.396444	0	0	3200	1065.426905	1412.648089
14224.11541	0	0	19000	3066.614272	3406.258999
2392.917738	12462.44	12462.44	2800	11628.71557	2000.990921
57.453201	0	0	1200	385.853874	84.697292
4245.855092	1957.3	1077.3	5000	1004.35474	1086.428906
11167.23403	150.64	150.64	17000	2606.059389	2894.077159
69.405545	0	0	13000	0	
116.654149	907	907	5000	0	
4637.848144	1271.12	351.54	5000	1906.032044	3572.279251
24.28497	250.6	0	3000	319.762903	173.632006
9354.06045	796.33	796.33	13000	10664.65866	2600.875721
231.108995	440	0	4000	554.116542	185.091037
1562.633343	1330.62	1169.63	2000	1020.783647	709.610053
2494.868559	5491.79	1390.5	17000	1015.311953	615.92402
706.132889	897.86	714.52	1200	972.358048	184.524376
19043.13856	22009.92	9449.07	18000	23018.57583	18621.01331
2235.103331	720.6	720.6	2500	1061.292471	689.118919
947.13081	197.06	148.66	1000	492.200419	509.384182
764.042156	0	0	7500	1566.806897	172.959728
5347.814547	0	0	7000	0	
10598.46777	2084.48	1300.48	21500	3219.621433	3068.125648
2163.678757	5779.36	3436.53	6500	4416.41268	546.439139
3057.400553	1025	1025	7500	698.854095	819.682666
19.354559	689.7	0	10000	746.691026	
264.811595	28.65	28.65	9000	1235.630069	194.324456
1108.22253	944.96	164.96	1500	1955.198953	992.652486
906.573724	1039.2	80	13500	1855.235407	468.196732
7679.62904	4059.93	0	7000	3685.61062	12854.9397
1523.911458	4075.37	3322.28	6500	2254.26002	329.29648
49.206256	870.24	0	8000	835.839952	193.011166
13673.07961	9792.23	3959.81	20000	11717.30794	6042.391629
106.455975	2463.12	789.53	4000	2573.722764	95.342224
119.760904	1859.34	0	20000	3104.275623	288.903628
5837.105453	3488.49	3262.25	7900	0	
1734.510004	0	0	1800	363.474455	2827.997525
2765.748281	7283.31	5087.31	11000	14373.3929	1058.128452
1046.37041	295	295	1200	439.407082	362.838185
2737.367678	0	0	3000	778.827993	721.798576
4014.818167	0	0	8500	1009.185035	1177.149934
871.568977	648.22	115	1200	1110.886425	208.298424
1610.040203	557.19	525.64	4000	422.711848	616.005839
114.593817	469.98	0	1000	367.109312	86.102479
5800.587339	0	0	6500	1346.365584	1972.526015
823.103926	131.64	0	8000	2916.071564	243.199498
595.677343	5078.14	4330.53	15000	4756.654374	241.894073
1128.124563	924.6	0	1000	1202.711782	1747.037345
349.441102	1975.4	1393.5	4000	1795.012223	167.219681
840.804076	0	0	4000	3621.266477	193.171404
975.942008	10221.35	7141.38	10500	10693.49585	347.641073
23.111088	300	0	12500	291.948834	43.452683
2187.732265	0	0	3000	1423.788603	461.365626
11972.01104	5715	4685.54	14000	4639.513745	3192.306018
1608.451822	0	0	1800	470.565984	408.799147
1872.926275	766.61	766.61	2300	0	
2933.240476	0	0	3000	2431.578544	1739.74883
336.799916	3535.8	1614.7	20000	2814.231227	186.230835
36.236312	256.11	0	5300	831.375322	189.036967
903.29781	2697.48	150.5	2500	1686.196344	303.361632
0	23	0	5000	0	
2881.253586	117	0	4500	17301.83238	931.618475
5.465999	196.81	173	12000	0	
117.442684	653.73	493	10000	441.588141	136.827952
168.522709	2009.05	0	1200	2612.760497	197.638558
1706.014379	147.78	0	6000	1186.062765	374.595505
874.583247	516.54	159.07	900	579.749308	693.894717
861.001207	969.56	969.56	2400	0	
966.251742	311.45	311.45	1500	277.522439	286.299328
38.615644	280.4	280.4	6150	254.392984	55.79974
189.687964	66.14	66.14	6000	0	
40.417255	79.2	79.2	4000	1647.880773	24.815878
5462.897068	1453.32	0	16500	1382.269127	1755.253802
3983.923705	756.54	756.54	4000	1110.870941	1431.201171
5588.846272	3507.35	603.75	11500	1412.597253	1825.176503
281.170378	3163.69	56.8	8000	2422.911622	187.046284
130.251538	1343.19	1082.79	15000	1043.55929	182.429461
1973.814964	873	873	8000	541.722532	762.682834
5698.539876	47.55	0	6000	2976.579866	3463.174962
43.103899	370	370	23000	1212.054219	68.725483
566.546048	405.75	313.75	2000	1249.835142	313.052687
24.527253	261.64	0	4000	376.758504	169.78292
8350.145568	1989.28	842.8	14000	4720.900413	2557.044576
4559.779234	10848.5	8208	7500	9423.715495	2925.275522
2.67713	43.39	0	4000	130.107234	29.700051
1570.682346	645.32	645.32	1800	2591.391006	808.217224
7201.736985	987.1	862.1	10500	1941.541158	2391.987571
6467.885013	1464.14	978.71	11500	1658.563509	1887.413517
64.080909	927	600	5000	1260.16384	59.04439
5635.860679	393.62	153.72	10000	1919.630466	1731.549385
3670.50596	965.5	876.13	7500	1034.932404	941.496383
2458.376257	0	0	7500	4543.63481	647.20869
768.004936	336.41	336.41	6000	947.696134	217.027653
75.647479	540	0	4000	548.967281	48.659935
2.433254	36	0	7500	0	
1121.730896	878.52	103.1	1500	542.836917	471.496776
7.56809	144.26	67.08	11500	134.710832	75.515008
2053.441598	493.85	441.35	2000	2795.059574	2661.324808
2422.311938	4490.69	3456.25	8500	5763.666926	582.589765
9047.621884	11188.62	6099.16	10000	11994.41815	8517.258683
3061.213971	1829.2	1792.7	7000	971.234118	985.954762
41.642389	75.99	75.99	2700	69.163384	99.401747
5431.622968	1824.16	1598.56	14500	1508.016452	1370.519926
6571.484039	9325.22	9325.22	8500	11036.72668	1824.680131
28.461629	100	100	4000	125.769169	104.857518
4178.625215	1431.89	430.69	4000	2384.542045	3868.70983
3019.019487	2260.41	1356.33	8500	2187.930651	739.224894
1.045584	0	0	1200	1068.581252	25.537
2723.369217	10410.49	1158.84	19500	9695.650901	726.696049
1070.999446	990.7	482	1400	505.317328	438.324017
279.608696	3034.92	0	2900	2928.909865	2733.317012
1255.901821	1038.81	1038.81	5700	1215.454299	422.331098
2229.857287	45.65	45.65	2500	542.7463	628.211031
2363.489077	2641.98	1386.3	3000	1839.928884	1075.456585
4014.388265	1189.52	1189.52	8000	0	
7623.224897	300	0	12000	1975.974183	1774.584333
3421.571922	126.69	42.88	10500	2515.435738	975.504012
48.898611	247.09	0	5500	409.594792	69.921472
1874.716289	301.1	83	1950	586.974046	1089.040271
3215.511032	1112.2	1112.2	7200	0	
237.235398	2410.07	1670.5	4000	3773.727455	169.879335
1272.927288	5350.19	4783.34	8000	5825.602115	318.305326
558.476701	630.03	630.03	5500	426.092563	213.369694
2814.207626	3197.24	2080.02	3000	3574.480603	1328.897516
8.061012	133	0	3000	130.61272	41.436595
435.862142	1646.16	1023.42	12000	1055.835407	236.619362
6.390383	79.66	0	1500	75.896288	75.967742
9612.21512	319.92	0	12000	10993.89211	2501.560923
7938.559134	3677.52	3543.73	12500	2657.856602	1912.298544
2344.478291	1041.63	1041.63	4000	3033.665478	716.70488
996.48222	675.96	0	1000	1851.602411	1382.292833
19.508047	193.14	0	2000	220.46377	71.965063
185.640313	1703.23	1703.23	11500	1449.039414	183.298253
5335.302925	0	0	6000	1350.318606	1249.937085
22.189283	234.16	0	1500	479.910499	149.977816
5.871769	29.68	29.68	10000	76.943584	75.595199
1049.496471	1322.67	1096.71	11000	802.38543	229.655091
5570.190127	1607.88	0	13500	1583.411686	2216.638394
1668.591831	0	0	1800	2166.981163	568.063083
2224.590946	3183	3183	9000	3823.346244	629.080506
2903.781184	3014.23	1340.34	4500	1350.370286	655.633916
2041.480046	7323.38	4944.88	3000	3792.095079	1737.893866
7755.698607	8533.54	4072.76	10000	4758.209146	7256.951816
614.263149	408.93	74.8	9000	2161.153147	312.343947
8097.334733	3999.92	200	7500	5624.074339	9952.672511
1082.33027	2980.46	657.78	6000	1116.967993	289.439818
2734.66412	560.73	560.73	7500	717.798364	670.049653
80.708806	569.9	569.9	9500	634.000055	92.012927
2554.525229	6186.77	6099.08	10950	11198.92613	608.36886
535.947221	4550.81	3016.98	8500	4317.191232	208.73456
3905.365959	150.8	150.8	7500	990.524408	989.783286
156.278339	1385.1	1005.1	14000	1280.473571	193.369942
5131.319584	32539.78	26547.43	11500	26652.34432	1971.129435
5265.763713	410.24	44.71	16500	12005.3074	1055.547896
2.564117	47.95	47.95	1500	294.507498	86.245988
1873.084577	126.57	126.57	2100	483.557464	524.426392
32.124999	380.89	380.89	5700	0	
1473.495809	414	0	10500	5863.94034	570.250342
1504.82705	2010	630	8500	859.829946	479.831475
7645.108427	4693.15	4332.65	13500	4786.64868	1741.158024
1129.33758	498.96	0	1000	829.505486	1623.389428
668.956687	224.2	148.12	9500	568.336995	272.270427
2302.184366	2856.57	922.84	2500	2914.419813	2173.680619
272.711518	0	0	3000	2755.877257	144.621645
4246.430225	0	0	7000	6010.525656	1793.262654
2420.761135	0	0	3000	871.713321	609.206784
2935.324966	409.63	351.87	5000	580.13865	1114.588285
83.148283	843.34	843.34	6500	1024.267592	122.850835
5469.851311	0	0	6000	1362.966798	2019.027883
280.142117	2236.49	758.52	10000	1986.838064	233.614975
5790.930626	464.51	399.41	6000	1515.594331	2092.915898
3605.714046	1779	1779	5000	856.05828	761.012234
3992.261885	0	0	4000	1057.678259	1229.820066
41.833264	456.36	0	6000	370.996177	163.287618
635.090434	5758.71	2252.37	2900	7943.57021	197.416104
1521.1681	245.98	245.98	6000	2261.523522	388.258009
5547.092593	0	0	12000	1786.142816	1351.998523
2503.107213	733.9	733.9	3000	1620.193277	857.535876
191.450711	1641.07	1641.07	500	1583.918811	137.046292
3621.70204	674.73	674.73	4000	1139.058595	1403.477006
2762.479434	2702.47	1526.31	11000	7596.768364	1013.086448
4338.606862	0	0	8000	8019.800702	964.118618
388.873921	1579.15	1462.35	2700	451.600059	199.955286
9261.310686	0	0	11000	1933.413908	2576.552758
208.131845	2161.38	451.5	4500	2059.879468	165.05215
169.088238	1482.19	446.07	6000	1289.570234	173.686552
133.911556	1446.05	544.45	3500	1364.121036	186.240772
1613.34907	0	0	4500	312.433361	648.139459
566.908563	397.06	303.7	2100	0	
53.208422	498.17	459.02	15000	611.606459	162.94308
1329.967543	2009.12	1296.68	2500	2715.972095	956.330023
515.904786	5359.02	2399.78	6000	0	
927.041961	0	0	1000	719.974244	339.553093
1872.767651	0	0	5500	1151.721386	627.015802
185.396312	0	0	1000	117.542764	137.6915
4823.822993	0	0	7000	863.62306	1148.631716
994.105777	126.2	126.2	1950	314.302968	417.290247
40.089221	225	0	1500	325.578502	286.122587
0.478714	734.97	159	6000	1159.135064	
4732.37354	14.95	0	5700	1289.284068	1172.289863
9206.811696	874.98	350	12500	2055.100879	2199.077716
6719.376505	0	0	7500	1493.089193	2488.976669
2233.074041	445.2	445.2	8000	1042.991769	579.587654
1867.649838	0	0	4500	476.162309	401.970276
57.842746	689.34	0	1500	453.842413	148.28357
4194.033835	2006.87	420.6	21000	19714.09728	1479.309409
2459.862339	678	678	2500	1926.31853	1933.173023
850.630114	0.05	0.05	1000	1084.281127	367.409536
353.198215	3085.69	3032.97	8500	2690.525687	192.66679
2669.160638	0	0	3000	642.777061	1122.076137
92.440743	1080	1080	6000	1077.058667	169.005281
706.675991	2721.16	2417.41	6500	4952.900653	280.821958
361.319366	3095.96	1383.56	14000	4003.782858	197.186568
2324.086254	0	0	2300	2147.890523	2077.873573
2922.487907	71.07	0	9500	9226.751112	797.250949
98.364739	65	0	1200	718.794328	53.655347
498.208616	4786.61	4397.64	9000	3805.669705	163.459999
16.93339	174.42	0	2500	347.08638	149.301101
3355.631092	242.88	0	13500	6084.115091	890.639118
907.982017	216.94	216.94	3200	222.02316	300.210049
1132.386178	2246.3	2246.3	6000	32048.6122	406.790252
1254.6691	361.73	361.73	1500	535.606816	432.68808
80.336636	330	330	1800	345.330572	85.297166
260.838885	2854.11	1797.96	9500	2437.332725	176.283228
17.356961	390	90	2000	302.454171	74.667401
1897.672025	422.18	422.18	5500	2961.632199	440.30634
1032.241153	1005.52	464.5	3000	1866.265366	237.328382
3536.601227	2132.93	959.1	11000	8251.146946	834.025674
21.580264	284.72	0	5000	344.161416	155.792859
4211.539631	0	0	10500	1288.287239	1164.178674
1732.715258	3244.16	2480.85	11500	5674.185857	563.827502
8939.461145	2490.17	905.17	9500	3957.017497	4951.58548
36.567901	1098.31	1098.31	4800	0	
41.754778	636.15	636.15	8500	918.414211	57.150516
1937.246177	3018.93	1702.62	5000	3909.837604	444.12429
99.955082	1222.97	202.97	19500	1142.077891	185.657751
5135.604593	110.18	0	6000	1716.998424	2463.472147
214.896542	0	0	3000	2298.902197	214.263752
1543.287931	0	0	1800	548.589391	529.340488
601.92037	983.77	603.77	2400	389.411161	219.465695
1261.05733	0	0	1500	866.865018	354.381003
85.285023	423.24	287	11000	296.01675	134.448872
1903.688611	6079.5	4719.5	7300	18552.39489	762.263884
813.068705	439.38	439.38	1200	237.996469	265.708814
1279.325142	1207.25	0	1200	1282.705869	1300.596775
237.669312	259.13	259.13	2300	2680.635587	2503.374595
5747.761139	1627.69	0	5500	2507.704747	7490.453967
7760.940543	0	0	8000	2845.010795	2459.741299
6388.108487	0	0	8000	10973.14532	2384.817152
426.372628	5749.96	5439.96	12000	5711.540654	202.73209
8806.866629	1490.94	0.02	9000	2116.662516	3598.719728
282.934373	0	0	3000	0	
1128.229387	5068.88	3529.88	4500	3904.568067	373.931063
2045.541408	1067.28	0	2000	2021.775795	3073.416298
8.520292	64.12	64.12	7000	176.600545	76.462301
11278.95243	6855.59	2762.92	18500	4868.088671	2861.890896
143.443832	1631	0	2500	2550.799492	157.269321
241.223955	180.91	180.91	1400	802.858576	220.455533
1528.571561	0	0	1600	353.582373	559.030296
12474.72954	136.88	0	14000	3519.008859	3430.627754
566.147105	0	0	2000	1177.661577	190.365154
1077.606225	343.21	343.21	1500	930.328071	3245.693485
1.838084	16.5	16.5	6000	57.595083	67.1925
507.144348	5708.18	4584.78	4000	5589.952268	232.131169
816.82453	42.3	42.3	6000	361.853722	645.320421
1526.506915	46.67	46.67	1800	338.413344	642.547142
7957.017218	0	0	9000	677.144841	27631.45072
79.189929	699.12	0	2500	697.977603	183.858351
497.908027	245.39	0	4000	328.796655	165.308304
681.95925	98	98	4000	192.369983	221.375942
1535.248256	857.36	857.36	6550	3239.629759	411.871046
1508.513765	2747.12	1247.12	5000	4730.374245	481.558276
11209.37076	11147.33	1137.4	11000	7932.77402	17494.90735
201.3504	600	0	1000	249.066308	184.776562
2502.264409	0	0	10000	541.308981	724.956358
4543.789386	255.12	5	8500	1703.332126	1121.510137
918.342234	1221.53	1180	1200	1421.035206	106.039362
5066.744231	0	0	13000	1336.016317	1606.963379
2259.431829	780.64	199.65	3500	663.553502	483.836254
437.789873	1532.1	223	5000	1834.368953	212.770698
2025.162877	778.33	0	2000	1411.329676	1430.50774
3770.560441	964.06	260	6000	565.71913	1241.283569
140.730723	1667.13	1063.14	13000	1669.260634	208.701639
5523.999416	0	0	8000	0	
3298.692478	1088.83	518.39	9000	6862.520735	994.384835
150.699542	648.64	330	2500	0	
1874.843394	0	0	2100	444.783009	671.420908
3024.629054	0	0	4500	4226.578611	691.692633
154.641707	1897.92	97.92	13500	5563.437084	248.700571
1322.057239	0	0	6200	802.038512	291.307669
62.287137	1263.29	279.99	9500	1356.425369	179.894243
16.581535	200	0	1200	0	
4664.023286	340	340	6000	2162.141639	2009.821743
318.03434	1277.58	0	7000	552.734714	173.336309
681.615445	4117.24	290	6000	4561.589382	199.730537
9335.31417	226.23	226.23	15000	1885.239981	4980.192685
6404.955912	3970.8	2267	7500	3879.252512	1868.983718
133.405494	1346.9	1028	8000	1369.437449	98.678839
1403.597712	1050.83	67.9	5000	4673.520993	982.544984
469.878834	1364.99	64.99	2000	1849.10398	263.163209
1452.437463	0	0	1500	331.670616	479.771774
3737.175713	0	0	4500	0	
6032.740391	7553.48	2643.53	13500	5377.338091	1365.123434
1692.755487	570.16	0	9000	6124.31525	362.970189
3534.253718	566.28	431.01	4000	1298.823687	858.977427
654.574445	0	0	8000	422.878799	269.178995
1648.721384	0	0	1800	357.836436	631.106468
6822.877573	137.34	137.34	10000	1874.954894	1716.092764
8647.057641	0	0	10000	2052.533488	1886.223361
5055.582822	0	0	9000	6918.272206	1035.039239
4245.550244	332.82	0	5000	5810.994681	1284.011712
541.915572	1377.72	1377.72	2500	182.177646	200.759856
4855.340797	0	0	6000	2996.735376	1855.766226
981.643409	0	0	1500	2008.971745	277.582819
7057.658848	360.7	360.7	8000	5147.693822	2610.053885
4264.307261	222.64	0	4500	1017.241855	1225.908506
4503.390811	1634.74	1376	13000	1094.345336	1194.234398
969.294446	0	0	1200	591.853821	204.676682
4479.115547	759.15	759.15	6000	994.500495	1384.111493
37.753941	243.36	243.36	1800	546.417272	134.985783
7386.704481	0	0	10500	7566.577763	1943.431564
1265.805627	0	0	2500	1370.235544	373.893161
598.78776	519	0	4500	621.255763	210.248259
3143.928913	3055.87	3055.87	4500	2198.293667	784.387878
5580.530306	2470.4	457.73	9500	3340.041274	3024.949485
576.635957	1671.6	480	1800	1021.907217	179.585842
51.818382	903.36	903.36	15000	538.841222	41.302445
1036.595935	0	0	1200	274.653536	327.072615
21.12921	229.5	54	3150	423.206638	157.471831
1534.969344	1476.19	1476.19	2500	1493.919986	382.989143
4994.04832	2506.89	2506.89	8500	1230.219396	1646.973276
4700.106602	2570	492.46	4500	3259.958288	5620.295192
9601.071318	238.34	0	15000	1194.510762	1206.257247
1207.888199	1342.36	1037.96	4000	288.883026	312.026316
87.442862	786.32	186.32	7500	881.284581	97.186371
123.394089	1450.68	0	6000	1583.421932	137.826186
395.052994	1239.46	752.28	1500	401.217047	177.766827
1715.459275	96.75	34.65	1800	452.225512	411.612521
1492.039988	4106.15	2688.46	12000	9678.173119	606.899183
636.669685	2022.38	1892.38	6000	939.306791	301.000749
223.772475	3654.08	291.41	2500	3301.334578	180.338402
1122.603377	883.73	457.62	3000	632.062443	568.410749
805.131074	795.54	167.4	1700	1804.065076	261.258072
869.001444	0	0	1200	541.101815	286.374289
4458.055159	0	0	7500	1088.755323	1189.693931
2070.069187	1382.57	1077.75	2400	1580.0815	466.772558
52.229659	565.5	0	8500	2768.795805	199.803721
6426.639738	4462.86	2816.46	11800	1793.043228	3101.01703
206.596865	1726.67	1726.67	6000	4804.383296	128.834658
5810.748774	217	217	9000	10428.37611	1599.353926
3872.605467	0	0	4000	1067.405461	911.08543
2597.400267	1748.73	518.44	6500	2497.488126	1584.520204
1481.43247	0	0	1800	586.426259	494.954634
1135.53683	50.98	0	1200	320.592941	385.347014
3430.981532	378.04	0	11300	4315.936534	4483.503862
4102.599015	1483.12	1085.19	5000	1357.36111	1919.690041
150.952465	6407.67	3725.33	14500	3484.429075	108.937025
3170.537693	0	0	3500	547.23924	1111.251287
911.281862	70	70	8500	566.292758	218.497636
45.753138	449.96	0	7000	1023.209164	127.78905
456.648662	3355.33	2305.33	6500	2087.871747	207.584121
198.035504	0	0	10000	14481.46544	19.492021
473.840442	0	0	3000	142.286073	164.391437
285.813075	3220.09	2941.39	15000	826.764555	212.075152
204.329381	6558.55	6558.55	7000	5872.707939	169.703195
3690.177649	0	0	4000	1006.358943	1819.542692
327.445978	4305.05	2905.71	9500	4030.061017	197.534405
6856.045926	262.1	262.1	13000	1629.239381	1998.044046
155.644239	1626.83	828.85	13000	1924.101393	123.522314
4263.008734	3522.57	1482	6000	1165.621928	1520.54755
10249.71178	0	0	18000	2662.365409	2539.198217
813.185305	8194.05	7280.27	6000	7069.804042	216.277252
911.893997	1604.8	1527.3	4500	191.366024	307.812023
3563.23692	709.9	609.9	7000	826.576112	817.39586
12478.17286	174	174	14000	3251.190662	3872.099498
2061.27937	0	0	4500	552.713988	585.776445
1556.376158	0	0	1700	1076.722225	1206.741644
126.207012	913	0	7500	1718.487894	140.181283
2516.753364	606.62	598.95	2750	1043.617154	1342.522124
1199.942209	1447.01	306.31	2400	642.723723	457.255269
13479.28821	41050.4	40624.06	17000	36066.75068	15914.48462
80.062693	727.27	727.27	20000	822.928249	206.656437
839.897907	1869.88	815.11	4000	999.235386	280.393252
128.175207	182.94	0	5000	1391.649702	186.774371
47.6368	379.28	0	2500	641.943628	156.644197
1529.206464	874.94	0	1500	716.241063	1502.744095
2643.343414	26402.39	22257.39	16500	24529.27662	534.032339
2924.757622	0	0	3000	677.649435	1187.962476
5036.870531	1752.15	1564.16	10300	1489.597574	1549.64691
32.042424	400.41	0	4500	353.570259	132.13182
2549.128288	13771.63	4503.31	14500	16826.42443	451.636081
3718.606699	1172.68	1172.68	9500	4820.842925	760.028047
4914.325665	1653.6	353.6	5000	3410.253378	3451.70216
1191.584153	4238.79	2220.39	10500	3528.728592	287.515344
98.420888	907.37	907.37	10000	908.907467	184.723457
1534.891604	0	0	3000	304.984801	427.594038
675.117139	0	0	12500	0	
43.42718	569.34	0	16500	758.421856	163.044353
1874.601636	305.78	0	1500	518.757481	19977.00572
15258.2259	529.3	529.3	19000	2051.14647	3905.740148
4497.213951	2001.19	210.43	4500	3058.768463	5067.863223
986.149218	0	0	3000	832.894753	706.541302
257.997181	1020.47	185	6500	1099.15757	163.155119
4507.733288	4754.32	3636.53	9500	1924.73689	957.077692
1117.635883	0	0	1200	308.089987	361.250401
5083.397311	331.95	331.95	8000	4453.691497	1088.959964
3649.559565	1490	1490	12500	573.307364	747.486806
77.45581	558.28	270.52	8000	601.746596	149.982513
1362.418281	1477.44	900	1500	559.095981	1058.84479
189.12074	1051.1	0	3000	1301.155857	168.227161
2374.663583	2242.26	1222.96	2850	2073.374513	874.422722
1112.070216	179.24	59	4000	217.546584	368.652894
2569.379868	972.65	162.95	5500	807.047622	590.361005
