battery_power	int_memory	ram
1479	19	3323
1476	55	1529
1552	13	2403
1454	34	3419
1007	45	3648
652	17	1974
1504	34	2806
1726	51	2239
1029	5	582
1582	44	3890
1478	48	1141
1178	49	2511
707	25	3838
755	51	2734
912	54	2330
651	63	2244
1483	54	1851
914	4	808
1456	7	1587
1178	57	2492
1503	43	2122
1681	11	1122
715	48	3709
1876	56	3021
1190	47	624
1755	24	3937
1197	20	1797
1048	28	1458
1887	17	3348
1772	64	1834
1421	57	2775
1464	17	1277
728	23	457
954	50	438
685	13	3210
1472	36	985
853	3	3701
1469	8	1052
1310	57	1175
1654	11	1070
902	3	3411
1448	26	1175
1631	3	301
1608	28	489
1991	64	1733
1349	62	2756
1589	51	2612
1844	51	1724
712	35	2190
972	54	1900
1406	34	3915
1289	25	1043
932	64	3817
1747	48	2362
1172	41	1107
1128	53	2982
664	28	2042
513	44	1343
1742	43	2610
1512	6	2335
1986	51	1614
965	13	1138
1067	40	604
1583	42	3652
1653	37	3955
1433	4	258
765	18	1066
1845	61	1731
752	48	3860
1948	16	3630
1077	45	1965
932	60	1459
1968	22	2323
1122	2	3291
1588	61	3272
601	26	918
1615	15	3488
1589	58	3961
1417	56	590
1697	34	3701
1330	3	463
1476	43	3644
1579	27	1713
1277	41	429
1089	2	2765
1663	27	2084
1949	20	1125
1138	48	2048
685	17	1223
1889	31	3672
857	17	3100
1902	50	343
1225	15	1970
1066	39	2728
1554	5	3635
1337	31	2180
1926	33	2488
869	34	3864
1278	54	1155
1773	32	3566
1661	6	864
1438	32	869
1661	29	591
1846	19	1333
1260	23	2208
512	15	2610
581	59	2819
1872	44	1955
687	50	3416
1062	10	3803
1678	7	574
1417	45	2129
1074	9	1948
1832	2	2978
1039	12	1619
1059	61	3716
1606	57	3454
1928	19	3777
1875	55	2712
1128	46	1434
1748	14	3968
1413	51	3383
825	23	3278
1589	26	3970
535	54	2674
1780	27	2776
1671	61	2336
1821	12	2430
1076	38	891
532	8	728
777	30	3886
1217	17	1711
1656	16	2856
1185	31	2447
577	37	814
737	49	2951
704	53	3653
525	51	1891
504	16	701
793	38	3139
569	39	2811
1590	21	1701
707	16	1853
767	19	2445
1350	50	2287
1117	31	2003
641	7	3595
1002	35	1726
1408	45	3952
1900	41	850
726	43	1446
1544	45	1300
1454	21	719
1230	26	988
1552	53	2606
1519	32	2912
723	30	2339
1191	13	1028
1168	61	3173
1229	14	1667
1758	13	1897
1290	3	1214
574	38	3269
1271	32	445
1170	30	1073
1269	52	665
1288	50	3129
1366	34	3501
1572	8	3461
1627	32	3206
1701	46	3717
1900	55	3917
1974	24	861
1197	20	2885
587	6	2777
934	24	1017
1195	23	980
1853	23	2775
1164	19	3309
1512	18	3607
1232	24	1257
1813	5	759
946	5	3720
739	58	475
704	29	1122
1663	40	1336
1966	40	1185
1219	17	705
612	35	3169
1658	39	3483
1263	64	1183
1395	55	3373
621	54	2801
652	58	565
1175	25	3153
561	11	3421
1137	3	316
1835	11	448
1170	40	2366
1595	44	3881
1719	12	462
1770	7	1480
1312	28	1087
1878	56	2711
1871	20	2144
922	35	1165
1975	16	2998
1212	46	2249
1430	56	752
1958	4	1409
1836	30	3072
557	24	1305
539	21	3597
880	44	3132
1369	34	3856
1109	39	1524
843	16	3673
598	21	3293
972	5	3035
1944	36	584
1225	2	2675
644	30	2382
1919	48	1391
501	54	2346
1620	30	606
1227	34	1324
1359	58	1076
1914	35	643
1645	21	783
1063	26	3809
946	19	2104
1231	54	1762
1397	9	3137
701	15	1756
570	9	3663
1993	27	2437
955	43	1432
924	47	1620
600	14	1655
518	3	2832
1063	31	961
920	46	2608
1715	3	514
1841	14	2304
543	60	933
1762	25	1896
1112	53	3655
709	35	1973
1315	64	3278
1762	15	2183
1462	25	824
571	35	2598
666	54	1254
1994	7	3622
1583	14	1704
1778	45	1624
1926	50	3809
966	50	2574
568	36	950
1897	21	273
1695	46	446
1623	61	1510
914	26	1122
1721	33	707
890	44	751
600	48	3393
1677	11	3771
723	3	1851
638	27	2735
852	62	2253
1979	32	452
710	32	1419
1034	45	969
600	22	3441
1027	64	3786
1260	13	2710
1793	12	3533
675	60	1735
658	12	3587
1694	34	2298
804	41	2027
1713	27	2406
706	31	2419
1362	25	995
1527	60	2078
768	19	1145
1314	41	626
705	57	1509
1403	26	3371
1486	52	297
781	38	3508
986	23	2385
1310	33	1301
560	57	2167
1348	43	3914
1567	22	2312
1940	17	2297
1979	19	411
561	2	665
1717	62	3226
535	48	740
1413	39	3878
1358	20	3406
1519	30	2440
1254	50	3959
1591	49	3703
977	35	3714
1640	21	337
663	25	3176
1744	20	1205
1624	28	2473
1108	2	1229
1188	9	2896
817	11	2039
863	6	520
1397	3	1378
1108	49	3254
1068	37	1803
1702	52	2501
808	8	3762
1156	61	1796
1271	54	990
696	51	2630
1981	45	1380
614	58	3487
1590	7	1201
1945	21	3015
1135	43	3204
1049	2	433
1807	49	1906
984	42	898
720	61	2799
1536	13	2020
771	25	770
503	57	305
675	42	2953
1936	34	1671
1303	15	2574
1004	35	3772
1972	37	2870
1822	8	2577
1159	18	2246
1782	58	2405
894	16	3377
1884	43	3619
1648	17	1184
798	4	2965
802	45	3713
1276	53	3798
1331	16	1026
1620	5	1086
1996	51	2236
1092	45	1303
1018	63	3048
545	11	616
554	12	3764
1264	34	419
1030	58	2858
1432	39	504
558	49	392
829	56	820
1741	14	3387
1849	15	3447
733	7	1403
1872	16	2295
1853	27	1973
1149	30	3755
891	25	2073
1911	64	3872
550	23	302
576	27	1519
1760	50	2549
969	45	404
1160	63	595
827	18	1663
1786	58	2764
774	8	2614
819	11	1094
1042	11	2826
1368	50	2496
1592	50	2103
1067	14	966
1892	47	2172
915	56	905
774	55	3916
1848	42	3902
1501	2	2487
1614	55	3914
911	46	363
1520	24	3233
1647	38	2532
1347	53	3836
967	25	3076
1442	56	1513
1204	10	1724
1320	41	542
1800	8	3481
1567	22	3991
1439	20	1790
1422	3	509
1591	52	282
880	6	3006
1929	19	1913
1642	5	1333
1511	21	3746
1312	10	3941
1852	10	3970
972	44	3925
691	33	424
807	8	1284
1113	25	277
721	16	1713
1188	54	485
1512	52	3002
805	64	418
918	8	1652
1320	48	2893
1236	57	1406
1387	61	629
1883	30	3724
839	14	3835
1593	52	1354
1722	25	2376
1954	7	3438
1788	2	2655
1628	33	3361
1965	4	3535
833	27	2150
571	43	2587
1808	31	2736
1860	55	676
1368	9	2941
1161	21	3336
1224	33	3796
902	63	3654
787	11	2934
854	30	2889
1184	48	3315
1973	39	1993
510	35	2509
966	34	3534
1438	16	2246
1986	51	3165
1907	55	286
1489	32	776
1843	16	3213
825	38	716
1286	16	424
840	63	3486
757	58	3237
814	41	1944
1195	8	643
767	10	2317
1068	52	1436
994	56	3190
1550	21	2338
1878	29	1334
623	6	3657
1829	15	2080
525	35	1609
1065	14	3078
1425	35	590
1296	11	2552
642	34	3355
1664	15	1968
1498	8	3358
981	2	1539
1236	32	942
1673	9	3669
712	9	3612
569	4	2351
603	64	604
1332	11	1285
1413	13	515
1064	34	654
1444	48	2540
1366	53	3869
906	18	3412
1554	47	509
1187	21	2547
1156	30	2735
1918	22	1369
841	39	2942
730	6	2812
878	31	3497
1059	50	619
1578	3	3483
1829	36	1475
1132	8	1950
1652	40	3592
912	58	3573
1181	61	2020
1497	32	1329
1790	49	3568
1742	49	1947
1549	8	1998
1372	34	725
1112	12	3302
1005	46	3884
783	27	1185
1698	26	1656
899	53	2870
1062	45	911
989	17	3892
1983	27	3897
1800	53	656
1254	45	606
868	30	1653
1205	12	860
1284	10	2197
626	23	3458
1763	53	2066
694	36	3676
1265	49	1518
816	14	1018
904	35	1360
979	5	3449
1531	60	2524
934	30	703
1624	58	1251
874	8	582
1027	63	1732
1966	48	1252
1048	29	2146
1496	38	1927
959	13	3328
1349	55	2462
1689	13	1172
1558	27	3598
582	27	2437
1485	44	3271
1991	9	1511
553	23	2981
1231	7	3119
805	34	3647
764	13	3148
894	54	2829
1589	46	2373
1456	39	3998
743	33	316
1061	52	999
1428	7	1808
674	8	589
832	46	3317
1625	50	670
907	42	584
1631	13	2173
1584	41	1561
1382	13	2073
633	46	1401
1444	38	3764
852	54	1275
922	47	1464
1745	57	2885
862	6	3458
1754	52	3019
1008	36	1083
1569	33	3538
1596	7	2493
1807	61	3726
1660	7	1531
1861	55	601
648	8	2991
1379	19	3912
1910	34	309
1807	13	323
1923	46	1489
1345	38	1322
904	14	1846
1239	52	417
1330	52	3269
516	30	3731
672	54	667
892	47	1241
1778	23	3941
1130	58	1018
1359	59	3142
1866	47	1444
1597	34	934
1046	58	3863
1035	44	3506
1175	19	1944
1261	11	348
1068	51	550
1713	20	971
1688	21	3984
1413	45	2973
559	11	2019
1483	19	1587
860	48	1870
1090	27	1352
686	3	570
818	43	546
1456	49	3624
774	10	2944
1068	19	1209
1373	29	2752
1777	20	3868
594	28	3087
1524	57	947
511	50	1484
1402	46	347
965	53	3227
1270	58	3299
919	13	1028
1963	34	714
1977	31	2641
1881	51	1229
683	19	2622
772	6	929
536	53	1211
1694	53	1653
1633	33	511
1371	52	3034
551	54	1414
1221	28	2438
1000	63	3744
1986	64	1377
1119	23	3520
1699	59	3796
1099	61	1699
1576	58	336
950	55	1095
1081	49	325
606	53	1223
502	37	1649
957	4	1898
1658	38	2609
1681	18	2265
1983	43	2775
1753	12	1445
1632	41	2614
1949	57	356
1696	13	523
688	57	3745
1104	60	1229
1122	28	1402
504	46	2085
1154	14	587
1727	63	2457
1674	52	2030
1948	18	816
1218	39	1667
531	63	2958
1057	5	3705
576	30	2800
1960	7	3773
673	22	2050
718	21	1754
864	35	1904
547	37	2705
623	3	3537
1793	27	1370
1720	19	1222
812	64	3102
980	33	2268
643	18	2648
1925	16	2173
1408	32	3162
1522	28	1368
587	51	2746
1959	18	619
1872	17	724
1043	42	912
1809	23	2784
1703	23	793
1095	45	560
1414	27	312
1659	41	545
1540	60	1591
1342	31	2746
1189	8	893
518	62	2514
1449	10	1032
516	39	819
1569	59	3672
1312	24	3833
1893	23	1482
1076	14	2043
530	40	1229
1044	33	1816
1330	37	2166
1836	14	2469
1741	55	2575
1869	30	1375
1331	55	1732
1655	4	673
605	18	2301
1245	30	2676
1709	58	1781
846	58	2248
1403	62	921
688	2	391
775	10	1719
1154	35	3262
1375	35	1947
1827	61	2693
1697	60	441
741	14	1886
1672	32	1267
514	57	687
1375	12	2890
989	55	1737
1510	47	887
1266	18	398
1396	46	2389
808	45	3431
1542	43	3601
745	35	2459
1735	59	3230
586	57	3646
1341	36	2200
781	64	3862
501	22	3077
1224	44	621
1970	58	2372
618	63	2574
1537	46	2857
1018	16	3143
1545	35	3197
1871	41	2727
1729	12	1519
680	9	2438
1106	54	2674
635	50	2107
618	16	2262
1671	5	815
1562	52	2829
1975	31	3022
831	62	2573
1524	10	2678
1528	55	1282
1447	9	568
1344	14	2074
564	8	2227
921	60	1080
1413	10	2867
831	55	1075
802	43	3063
1923	24	2479
1193	56	2394
904	31	2814
1285	51	2094
1635	2	2315
1923	14	2519
1851	12	735
727	32	1891
1396	44	1386
877	46	3260
696	35	2022
1009	2	1716
1526	38	3317
987	20	1454
1414	49	2290
1732	61	3940
1587	50	461
1097	21	2219
504	40	470
1159	28	2495
1910	29	2944
865	59	2361
1930	16	1783
860	40	2832
1268	42	931
999	27	1344
622	9	3916
1250	44	1882
763	51	2865
1100	15	757
815	51	3469
618	57	2399
553	18	3300
673	3	2719
563	47	3012
1590	14	2836
1031	11	2385
909	30	594
1880	7	2968
1479	24	3762
1271	2	892
709	13	467
1744	62	345
1314	40	3033
1136	9	2110
1039	56	3105
1300	62	874
732	39	3681
511	52	3865
1092	11	737
921	10	3153
1030	37	2800
1130	27	315
1299	60	1412
1009	2	2286
1735	34	2392
1129	49	1857
708	26	1419
894	58	3305
530	32	959
1481	35	2635
1068	45	1754
1487	57	2563
1524	41	1936
1093	22	1869
1816	50	3637
627	20	896
989	51	2349
1895	5	774
805	58	3397
713	2	485
864	24	3964
1177	11	1887
582	32	2977
1898	56	2114
1158	29	1542
1451	57	3038
1820	51	2481
984	9	841
580	24	3565
1263	5	1958
1237	27	2454
514	37	3392
1515	56	262
721	6	530
603	35	3703
1426	55	2562
1820	64	574
1215	16	2632
697	20	259
717	10	688
1348	36	2554
1164	61	3859
578	62	2977
1971	40	571
1794	55	402
1558	32	878
1597	4	2130
1240	39	3260
1994	7	454
1221	35	2638
989	24	2819
1180	50	1464
718	59	1824
1670	47	876
534	21	2706
1566	20	659
1935	29	455
504	54	2378
913	41	2278
1317	43	3436
917	31	3424
712	49	401
1083	52	681
1039	6	3212
1747	13	3105
1449	52	2036
1872	49	3153
1796	7	1642
1097	60	509
1562	20	3465
1433	27	3900
740	12	1105
676	39	2064
503	13	3117
1020	7	1142
896	4	1060
1824	19	2381
1512	54	3366
1053	42	1339
1944	31	2560
1174	25	285
627	12	2476
1602	46	1862
1733	6	3488
586	8	3178
1528	37	733
875	23	756
1602	58	3622
1426	12	1277
1370	6	3703
609	10	1905
840	15	2636
991	12	2014
1724	9	3056
584	19	465
860	49	3869
1541	28	1108
615	58	1906
912	46	851
1278	60	3142
1365	31	1300
1702	36	1430
589	59	362
1347	56	2456
1644	44	2360
956	42	3700
1089	2	2620
871	52	437
664	6	3774
1874	19	1218
1928	5	696
888	33	3407
1077	58	3902
1023	30	2086
1426	42	1356
831	26	1704
1496	6	3571
1433	5	2132
1095	44	3209
643	23	2096
1142	6	1273
730	27	3623
1901	41	368
1510	32	854
1924	59	3646
1825	17	3130
1275	5	3784
987	17	3885
1538	13	1494
1965	29	2973
808	20	1471
712	27	2001
1507	42	1486
912	47	1321
769	17	1877
948	22	3499
507	39	2124
1384	60	1221
1766	29	2316
1407	16	1068
614	24	1930
1972	14	1316
1039	47	1742
511	34	3265
1811	5	2700
1159	36	2115
1848	12	3915
1988	16	3144
1469	58	1571
1423	44	2253
1974	10	1433
835	42	2583
1429	42	1817
947	51	2915
1446	18	3340
1332	7	2790
1498	14	577
1576	14	3220
1398	26	3488
1885	14	1277
798	2	3593
1436	42	2736
1998	31	2311
1321	63	1464
1021	9	1355
1339	40	2382
1210	57	1886
1949	31	832
882	28	751
1549	27	436
1991	42	722
796	12	1075
1012	39	2802
1318	11	1780
1708	14	1247
598	62	3066
541	51	403
818	23	2518
1414	15	1069
601	6	2651
561	40	2974
1616	52	657
1263	32	3372
1604	63	1464
539	24	1326
1071	49	3393
826	57	323
771	62	1628
1811	33	2610
1842	56	3721
1420	50	763
1763	10	792
1163	2	1568
1805	29	1276
610	52	3472
1533	17	2520
1924	63	3423
1801	52	258
1726	42	1868
794	14	2171
1686	28	780
1444	6	712
1004	30	1012
1242	28	318
539	26	3948
717	14	629
1540	29	1161
672	35	1403
1325	13	3707
950	55	1305
948	18	2926
1328	27	2674
1447	40	471
1973	21	1724
1731	60	1220
1617	63	2754
1791	33	594
851	54	1005
856	14	2439
714	30	2302
951	15	1083
1303	10	2219
1550	32	1571
1759	15	2107
1448	2	593
1987	50	857
908	44	3518
820	58	1284
904	19	545
667	6	3566
1109	34	2821
1333	59	3442
1352	6	1309
1600	19	1179
1454	37	1713
1489	9	1663
1823	10	1812
1581	41	1384
1672	44	1348
1283	27	3957
630	14	1212
659	24	3925
1811	32	348
688	40	1382
514	18	980
1933	16	838
915	31	378
1006	22	909
1134	13	3632
599	64	3396
973	53	1861
1180	27	348
1237	13	2528
659	5	2190
1142	6	663
1002	11	961
1392	44	1280
602	50	2189
1249	55	531
531	12	2331
1450	31	794
1342	50	2644
832	22	1666
867	57	2157
1404	44	1196
840	33	2072
1368	42	1590
1927	11	2916
1714	31	3707
1201	10	726
1796	44	3577
1147	28	2627
776	20	685
510	33	1693
1045	40	2137
1497	10	3696
1425	33	3771
726	40	1342
1576	20	1379
714	11	1164
1595	63	908
541	10	1019
1617	29	3685
1154	5	1470
1638	2	2299
1150	39	999
1254	44	3011
1806	54	3142
603	12	1543
1834	40	3692
520	31	2753
565	50	2156
1689	9	2637
742	21	331
1143	22	1214
761	3	2248
959	36	3073
772	8	422
1015	12	2293
1824	2	3958
1130	29	432
1183	48	1152
574	26	1303
1472	20	797
1868	40	298
1375	20	3847
881	64	2110
1742	43	1921
1225	60	2423
1970	15	1658
1186	21	2361
1762	60	1380
1731	4	3892
852	8	315
848	36	2289
1575	11	2182
1554	23	2184
1972	48	2872
827	35	2367
1063	3	1919
1695	34	3296
1343	14	462
834	27	1591
595	20	1593
1081	42	2456
911	14	2933
844	22	3154
1335	60	3615
1883	24	3563
1128	33	1440
826	57	1907
1650	38	324
1162	50	1404
1517	8	2738
963	60	2722
1837	12	2294
1028	30	1424
1831	55	1133
571	58	555
1770	9	3785
970	59	3675
642	38	435
622	11	3183
600	6	3495
1412	57	1853
733	16	2648
1070	19	2647
875	30	702
1994	5	1836
823	18	3894
1908	30	2944
790	44	3424
1330	40	2678
1660	15	2424
1776	20	2671
1611	27	3078
1410	15	2304
1772	45	1146
1280	39	2335
1712	23	1422
1562	55	2096
891	18	1303
1957	36	1115
1110	42	456
875	43	3396
1211	28	2750
769	54	941
671	2	2278
1872	26	2273
1076	14	2355
1325	50	2328
911	28	2638
1273	23	558
1062	39	1345
1317	12	425
940	16	2192
729	14	3397
1494	3	1208
1546	27	267
1253	34	3518
895	16	3122
793	43	1050
1628	56	3358
625	42	2929
1110	12	624
999	49	1598
1856	24	2052
1715	15	1249
1897	54	412
1202	19	595
1171	19	263
964	22	2577
1973	46	639
1992	2	3206
546	26	1550
1093	31	1646
1880	35	1930
1765	11	3695
1640	36	3235
1830	7	2334
826	62	1998
1864	7	2258
586	42	1869
1206	30	1825
832	5	3946
848	8	436
1851	53	2678
1166	59	3887
1776	35	1813
1254	27	817
1494	24	3614
984	39	2013
1179	5	543
513	27	3400
557	17	2623
744	33	2700
1129	21	1400
1148	58	3127
1793	44	2803
1310	15	2518
1604	6	3564
1676	37	2515
1001	40	3654
1086	24	3930
1986	39	3476
634	41	3242
502	52	2666
1641	48	1695
623	15	3510
962	17	3438
1057	41	2033
1862	62	1017
555	38	1686
1000	58	862
841	11	957
865	16	3494
999	56	3083
1232	30	1656
1194	34	313
612	20	3282
1362	47	3629
1469	44	1687
986	28	1149
1843	62	3899
1561	4	1783
1695	47	1629
667	8	2528
1768	2	3256
1269	41	2341
1109	57	2785
936	14	3761
1713	5	1513
1175	45	2240
1940	5	820
855	59	1875
771	33	920
645	63	3615
1307	7	1412
1948	5	361
1509	50	1540
626	11	1077
1190	40	3610
1727	57	512
1670	62	3024
1150	27	1610
1208	16	2201
1812	42	3338
770	61	3473
1559	10	2203
1902	13	940
1751	4	1155
1416	20	3872
1288	61	1882
1003	16	1798
1715	18	2598
1967	46	1567
962	2	1491
1487	42	2003
1569	54	3905
1146	57	291
1379	9	1693
1504	25	1788
1945	26	3322
1630	32	1751
1125	23	1641
614	51	2854
854	17	3115
1470	45	3259
1826	49	1612
807	37	2319
1996	7	1258
1083	41	1543
1035	49	3991
1521	62	3555
1314	5	3411
535	24	524
673	35	3541
1219	4	1998
1606	33	3437
1603	17	1637
1958	52	3064
695	12	2855
1441	53	1393
1470	33	1633
1890	48	2392
1152	26	3284
1619	20	464
1002	45	1234
742	36	292
1306	33	2521
1424	20	2658
942	27	587
1934	2	2190
1290	35	879
930	54	1743
1699	21	1181
1849	29	3330
1922	42	3564
548	56	562
916	47	1659
1783	14	1816
1083	49	1338
1698	7	2992
1969	7	315
869	2	3249
1337	5	3242
637	28	2725
833	27	586
1248	9	2454
1174	30	804
1831	44	2460
1002	27	1295
1010	8	2625
1117	21	1999
990	15	2698
1564	26	3742
1065	21	1193
1982	24	3511
1607	20	885
1066	5	1044
681	17	2548
1163	19	2940
1285	11	3966
753	48	3484
1779	5	1246
987	52	2757
511	24	2378
1044	12	1794
1855	32	3933
946	26	1637
657	21	783
1673	42	3094
731	28	1774
926	59	256
1261	52	1365
618	45	2339
936	57	2049
1485	28	3241
1339	21	867
508	50	2175
1938	44	3497
995	10	609
1086	43	3285
1322	35	3684
1864	57	3586
1944	26	2322
581	56	354
1020	27	3204
1936	44	1400
1329	23	2308
808	46	1082
994	40	3104
1811	22	2847
765	44	2256
993	16	1113
1136	32	3210
719	23	3990
733	63	984
1946	8	3117
1230	48	1622
1577	64	2967
1514	12	1037
579	7	2908
574	30	1167
1072	19	2715
843	16	1734
1492	11	2259
1807	16	2921
909	47	1244
1876	64	3132
1436	23	2488
1251	29	1052
636	28	2927
1354	26	2090
930	34	2131
1830	47	3362
1424	23	1053
583	51	1799
648	54	3124
1203	11	1672
1777	15	1552
1299	64	1938
1494	47	3202
527	53	1302
793	64	2296
873	8	575
722	12	2359
1250	20	3314
1358	60	440
1035	11	2002
1289	16	3167
1445	37	3480
1702	47	595
534	2	2466
628	60	1337
713	53	1462
1207	58	503
683	30	2066
594	27	708
537	55	2029
1565	38	308
1052	6	552
713	63	2082
1766	16	3314
584	19	3996
1541	5	1795
837	51	594
935	58	2473
665	31	690
680	34	3845
877	17	2004
1493	53	2083
1762	26	2661
842	57	1903
925	56	2466
1692	2	3779
1576	5	3904
1065	48	265
958	60	1417
623	26	1769
897	17	2948
1110	41	2572
616	21	3267
1680	37	1459
1715	12	1633
983	45	2052
720	14	1086
1660	24	2402
1564	42	3376
592	52	1507
969	44	641
1356	35	3451
504	14	1607
1546	6	3521
689	7	1241
1685	16	881
1792	62	2563
1786	61	3033
1944	59	769
1077	49	3454
648	60	819
1702	2	435
1571	30	586
856	19	650
1786	14	3038
914	60	3736
1615	9	2948
649	19	739
1646	25	686
1189	7	841
1043	29	1183
1920	19	3943
1220	54	1037
1748	53	2633
907	44	3911
1193	20	1958
1766	22	3297
1278	24	3141
1234	17	3351
1961	55	2355
1745	3	1308
1442	27	991
